#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
 	deg	deg	 	 	 	 	 	 	 	 	mas	 	Msun	 	 	 	mas	 	mas	mas	mas	mas	 	 	Mjup	au	mas	 	 	
----	---------------	---------------	-------------------	--------------------------------	----------	-----	------	------	------	------	-----	---------------	------	--	---	-	------	------	------	------	------	------	---------	------	----	-----	------	-----------------	-	-
   1	 66.77526835944	-46.94869433906	4789142144269012992	HD  28454                       	HIP 20781 	 5.99	  6.10	  4.95	 0.460	 0.619	30.60	F5.5V          	 1.258	5p	 29	9	 0.234	 1.355	 0.205	 0.036	 0.077	 0.183	 4.80e-03	   2.8	 8.0	 2.27	 69.38	                 	0	0
   2	 76.90961550425	 +9.47008303109	3290765291786058496	*  13 Ori                       	HIP 23852 	 6.01	      	  4.61	      	 0.806	36.25	G3             	 1.020	5p	 23	9	 0.311	 1.707	 0.190	 0.035	 0.074	 0.285	 0.00e+00	   5.2	 9.2	 2.11	 76.62	WDS J05076+0928A 	0	0
   3	301.29220053355	+38.47897311910	2061876742143320064	HD 190771                       	HIP 98921 	 6.01	      	  4.62	      	 0.819	52.53	G2V            	 0.946	5p	 36	9	 0.264	 1.388	 0.188	 0.035	 0.076	 0.174	 1.20e-03	   3.2	 3.7	 2.06	108.30	WDS J20052+3829A 	0	0
   4	358.11138892074	+75.54465568935	2232348941893483520	HD 223778                       	HIP 117712	 6.05	  6.38	  4.15	 0.970	 1.217	91.77	K3V            	 0.794	6p	 30	9	 0.391	 1.954	 0.188	 0.043	 0.073	 0.358	 0.00e+00	   8.0	 3.9	 1.94	178.46	WDS J23524+7533A 	1	0
   5	 39.60412826247	-37.99082269207	4953450417440881792	HD  16589                       	HIP 12300 	 6.36	  6.48	  5.19	 0.512	 0.678	17.91	F6V            	 1.458	5p	 54	9	 0.203	 1.247	 0.173	 0.043	 0.078	 0.129	 5.40e-03	   2.8	10.7	 2.38	 42.65	                 	0	0
   6	 55.54059594357	-45.95782773485	4835819303382515328	HD  23308                       	HIP 17298 	 6.38	  6.51	  5.26	 0.495	 0.670	24.83	F7V            	 1.257	5p	 31	9	 0.239	 1.429	 0.173	 0.044	 0.076	 0.177	 4.20e-04	   3.5	 9.5	 2.27	 56.27	                 	2	0
   7	133.06897361628	 +8.06187439847	 596878550087942528	HD  75767                       	HIP 43557 	 6.42	      	  5.00	      	 0.802	43.54	G1.5V          	 0.949	5p	 57	9	 0.337	 1.945	 0.165	 0.046	 0.078	 0.275	 0.00e+00	9999.0	 7.0	 2.06	 89.86	WDS J08523+0804A 	3	0
   8	131.78018518098	+28.16154811779	 704916322116525952	HD  74811                       	HIP 43129 	 6.45	  6.60	  5.07	 0.656	 0.810	19.12	G2IV           	 1.313	5p	 43	9	 0.203	 1.312	 0.163	 0.047	 0.077	 0.142	 1.50e-03	   3.2	10.2	 2.30	 43.96	                 	0	0
   9	322.05818076647	-11.56848633480	6891522592643182080	HD 204363                       	HIP 106007	 6.49	  6.62	  5.25	 0.480	 0.680	28.08	F9VFe-1.3CH-0.7	 1.167	5p	 28	9	 0.320	 2.004	 0.169	 0.046	 0.075	 0.293	 0.00e+00	   7.0	13.3	 2.21	 62.08	                 	0	0
  10	359.52806918538	+50.44876415671	1940954617956840192	HD 224465                       	HIP 118162	 6.57	      	  5.14	      	 0.828	40.73	G4V            	 0.915	5p	 88	9	 0.511	 3.144	 0.158	 0.050	 0.074	 0.470	 0.00e+00	9999.0	12.5	 2.04	 83.05	                 	3	0
  11	293.98168434769	+56.98300303742	2142179058450057856	HD 185414                       	HIP 96395 	 6.58	      	  5.22	      	 0.784	41.76	G0             	 0.980	5p	 33	9	 0.242	 1.558	 0.160	 0.050	 0.076	 0.196	 0.00e+00	   4.7	 5.3	 2.09	 87.11	WDS J19359+5659A 	1	0
  12	181.89650002725	-31.41104407218	3472640938975300096	HD 105330                       	HIP 59135 	 6.59	  6.73	  5.30	 0.510	 0.706	30.49	F8V            	 1.088	5p	 51	9	 0.363	 2.087	 0.164	 0.049	 0.077	 0.305	 0.00e+00	9999.0	12.2	 2.16	 65.85	                 	0	0
  13	186.98020776938	 -8.67815837769	3579784327012046336	HD 108510                       	HIP 60816 	 6.62	  6.74	  5.35	 0.590	 0.740	34.41	G1V_Fe-0.7     	 1.038	5p	 32	9	 0.349	 1.735	 0.161	 0.050	 0.077	 0.237	 0.00e+00	   6.0	 8.1	 2.13	 73.17	                 	3	0
  14	164.76780507984	-53.53910495560	5359339601617743232	HD  95263                       	HIP 53685 	 6.68	  6.81	  5.48	 0.490	 0.677	26.42	F9VFe-0.8CH-0.7	 1.152	5p	 47	9	 0.210	 1.402	 0.162	 0.052	 0.077	 0.157	 1.00e-04	   3.9	 7.5	 2.20	 58.16	                 	0	0
  15	 50.89726944179	-40.07622273995	4852870701505115904	HD  21175                       	HIP 15799 	 6.70	  6.90	  4.77	 0.855	 1.005	56.56	K0V            	 0.831	6p	 38	9	 0.228	 1.214	 0.196	 0.065	 0.076	 0.171	 2.40e-03	   3.0	 3.1	 1.97	111.66	WDS J03236-4005A 	0	0
  16	229.73058745816	 -1.59228824760	4415515934099120768	HD 136118                       	HIP 74948 	 6.81	  6.94	  5.60	 0.520	 0.690	19.81	F7V            	 1.260	5p	 23	9	 0.221	 1.431	 0.159	 0.056	 0.070	 0.163	 1.60e-03	   3.1	11.1	 2.27	 44.94	                 	0	1
  17	 77.94434718939	 +4.40292529447	3238810137558836352	HD  33636                       	HIP 24205 	 6.86	      	  5.57	      	 0.750	33.80	G0V_CH-0.3     	 1.027	5p	 40	9	 0.297	 1.881	 0.157	 0.058	 0.073	 0.252	 0.00e+00	   7.5	 8.7	 2.12	 71.61	                 	1	0
  18	250.45786529694	-45.36916905465	5943191236735787520	HD 150248                       	HIP 81746 	 6.87	  7.03	  5.45	 0.630	 0.827	35.96	G3V+?          	 0.910	5p	 42	9	 0.340	 2.075	 0.154	 0.059	 0.078	 0.301	 0.00e+00	9999.0	 9.0	 2.04	 73.17	                 	1	0
  19	289.68802975139	+16.48831395189	4321170827084026368	HD 181144                       	HIP 94905 	 6.89	  7.01	  5.66	 0.510	 0.691	27.56	F7V            	 1.088	5p	 44	9	 0.245	 1.436	 0.159	 0.059	 0.078	 0.178	 0.00e+00	   4.7	 7.8	 2.16	 59.53	WDS J19188+1629A 	0	0
  20	 73.98346861421	 +4.66957842737	3239548665775613056	HD  31412                       	HIP 22919 	 6.89	      	  5.63	      	 0.719	27.86	F9.5V          	 1.067	5p	 53	9	 0.188	 1.289	 0.158	 0.059	 0.073	 0.127	 2.10e-03	   3.1	 5.5	 2.15	 59.80	WDS J04559+0440A 	0	0
