   1 04 27 06.0644 -46 56 55.299 Gaia DR3 4789142144269012992 HD  28454                        HIP 20781   5.99   6.10   4.95  0.460 0.619 30.60 F5.5V           1.258 5p  29 9 0.234 1.355 0.205 0.036 0.077 0.183 4.8e-03    2.8  8.0 2.27  69.38                   0 0
   2 05 07 38.3077 +09 28 12.298 Gaia DR3 3290765291786058496 *  13 Ori                        HIP 23852   6.01          4.61        0.806 36.25 G3              1.020 5p  23 9 0.311 1.707 0.190 0.035 0.074 0.285 0.0e+00    5.2  9.2 2.11  76.62 WDS J05076+0928A  0 0
   3 20 05 10.1281 +38 28 44.303 Gaia DR3 2061876742143320064 HD 190771                        HIP 98921   6.01          4.62        0.819 52.53 G2V             0.946 5p  36 9 0.264 1.388 0.188 0.035 0.076 0.174 1.2e-03    3.2  3.7 2.06 108.30 WDS J20052+3829A  0 0
   4 23 52 26.7333 +75 32 40.760 Gaia DR3 2232348941893483520 HD 223778                        HIP 117712  6.05   6.38   4.15  0.970 1.217 91.77 K3V             0.794 6p  30 9 0.391 1.954 0.188 0.043 0.073 0.358 0.0e+00    8.0  3.9 1.94 178.46 WDS J23524+7533A  1 0
   5 02 38 24.9907 -37 59 26.961 Gaia DR3 4953450417440881792 HD  16589                        HIP 12300   6.36   6.48   5.19  0.512 0.678 17.91 F6V             1.458 5p  54 9 0.203 1.247 0.173 0.043 0.078 0.129 5.4e-03    2.8 10.7 2.38  42.65                   0 0
   6 03 42 09.7430 -45 57 28.179 Gaia DR3 4835819303382515328 HD  23308                        HIP 17298   6.38   6.51   5.26  0.495 0.670 24.83 F7V             1.257 5p  31 9 0.239 1.429 0.173 0.044 0.076 0.177 4.2e-04    3.5  9.5 2.27  56.27                   2 0
   7 08 52 16.5536 +08 03 42.747 Gaia DR3  596878550087942528 HD  75767                        HIP 43557   6.42          5.00        0.802 43.54 G1.5V           0.949 5p  57 9 0.337 1.945 0.165 0.046 0.078 0.275 0.0e+00 9999.0  7.0 2.06  89.86 WDS J08523+0804A  3 0
   8 08 47 07.2444 +28 09 41.573 Gaia DR3  704916322116525952 HD  74811                        HIP 43129   6.45   6.60   5.07  0.656 0.810 19.12 G2IV            1.313 5p  43 9 0.203 1.312 0.163 0.047 0.077 0.142 1.5e-03    3.2 10.2 2.30  43.96                   0 0
   9 21 28 13.9633 -11 34 06.550 Gaia DR3 6891522592643182080 HD 204363                        HIP 106007  6.49   6.62   5.25  0.480 0.680 28.08 F9VFe-1.3CH-0.7 1.167 5p  28 9 0.320 2.004 0.169 0.046 0.075 0.293 0.0e+00    7.0 13.3 2.21  62.08                   0 0
  10 23 58 06.7366 +50 26 55.550 Gaia DR3 1940954617956840192 HD 224465                        HIP 118162  6.57          5.14        0.828 40.73 G4V             0.915 5p  88 9 0.511 3.144 0.158 0.050 0.074 0.470 0.0e+00 9999.0 12.5 2.04  83.05                   3 0
